transaction_id,customer_id,timestamp,ts_epoch,device_fp,ip_hash,amount,payment_method,transaction_hour,is_weekend,txn_count_10m,txn_count_1h,failed_count_10m,failed_count_1h,account_age_hours,customer_avg_amount,amount_ratio,prev_txn_count,historical_failure_rate,device_account_count,device_txn_count,device_failure_rate,ip_account_count,ip_txn_count,is_new_device,is_new_payment_method,seconds_since_last_txn,hour_deviation,status,fraud_label,fraud_type,split
TX_0000000,CUST_001593,2026-01-01T00:04:54.821965+00:00,1767225894.8219652,dev_001593,ip_001593,651.54,upi,0,0,0,0,0,0,6557.597,1500.0,0.4344,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000001,CUST_003608,2026-01-01T00:11:06.227412+00:00,1767226266.2274117,dev_003608,ip_003608,1475.96,upi,0,0,0,0,0,0,20368.709,1500.0,0.984,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000002,CUST_002578,2026-01-01T00:11:13.185108+00:00,1767226273.1851077,dev_002920,ip_002920,4013.11,card,0,0,0,0,0,0,16019.547,1500.0,2.6754,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000003,CUST_004051,2026-01-01T00:41:03.977722+00:00,1767228063.977722,dev_004051,ip_004051,1380.5,wallet,0,0,0,0,0,0,8081.549,1500.0,0.9203,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000004,CUST_000817,2026-01-01T01:06:16.111273+00:00,1767229576.1112728,dev_000213,ip_000213,2746.7,card,1,0,0,0,0,0,10372.873,1500.0,1.8311,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000005,CUST_002430,2026-01-01T01:11:42.512852+00:00,1767229902.5128517,dev_002430,ip_002430,876.58,cod,1,0,0,0,0,0,16642.534,1500.0,0.5844,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000006,CUST_003424,2026-01-01T01:21:37.208828+00:00,1767230497.208828,dev_003424,ip_003424,1048.57,upi,1,0,0,0,0,0,1344.045,1500.0,0.699,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000007,CUST_003445,2026-01-01T01:54:36.219490+00:00,1767232476.21949,dev_003445,ip_003445,2973.18,card,1,0,0,0,0,0,4074.907,1500.0,1.9821,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000008,CUST_002972,2026-01-01T01:56:19.308970+00:00,1767232579.3089705,dev_002972,ip_002972,659.78,upi,1,0,0,0,0,0,12837.253,1500.0,0.4399,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
TX_0000009,CUST_001507,2026-01-01T02:21:36.671318+00:00,1767234096.6713183,dev_001507,ip_001507,1932.43,upi,2,0,0,0,0,0,3140.193,1500.0,1.2883,0,0.5,0,0,0.5,0,0,1,1,999999.0,0.0,success,0,,train
